resale_price,registered_year,engine_capacity,kms_driven,owner_type,max_power,seats,mileage,transmission_type_Manual,fuel_type_Diesel,fuel_type_Electric,fuel_type_LPG,fuel_type_Petrol,body_type_Coupe,body_type_Hatchback,body_type_MUV,body_type_Pickup,body_type_SUV,body_type_Sedan,body_type_Wagon,brand_encoded,model_freq
900000,0.15087119516472836,-0.05938834109304775,0.9547046853746279,2,-0.3404175721756812,-0.30964340420082415,0.6490816548106537,True,True,False,False,False,False,False,False,False,True,False,False,596259.8822539949,0.023741965371474896
280000,0.7033883554445931,-1.3237354471654963,0.3336968906107482,1,-1.266400826237458,-0.30964340420082415,0.6371561571562034,True,False,False,False,True,False,True,False,False,False,False,False,503753.382088303,0.017603798714459436
550000,-0.954163125395001,2.2543668630195333,0.4889488393017181,2,-0.0740602909734783,2.687683920431482,-1.90297484324166,True,True,False,False,False,False,True,False,False,False,False,False,1323925.242816092,0.005848630493948694
250000,-2.0591974459547306,2.2543668630195333,1.4204605314475376,1,-0.04272414024380722,4.1863475827476355,-1.5690609089170582,True,True,False,False,False,False,False,True,False,False,False,False,1323925.242816092,0.005848630493948694
150000,-1.5066802856748658,-0.3712606272575851,1.4204605314475376,1,-0.3113197179267011,-0.30964340420082415,-0.13800119038305061,True,True,False,False,False,False,False,False,False,False,True,False,741613.3946053946,0.000289536163066767
150000,-1.5066802856748658,-0.3712606272575851,1.4204605314475376,1,-0.3113197179267011,-0.30964340420082415,-0.13800119038305061,True,True,False,False,False,False,False,False,False,False,True,False,741613.3946053946,0.000289536163066767
480000,0.15087119516472836,-0.5019098282184048,-0.5978148015350713,1,-0.6701186437814335,-0.30964340420082415,1.1022505656797559,True,True,False,False,False,False,True,False,False,False,False,False,596259.8822539949,0.018298685505819676
300000,0.15087119516472836,-0.4808373764505306,1.4204605314475376,1,-0.9447576219621924,-0.30964340420082415,0.6109200623164135,True,False,False,False,False,False,True,False,False,False,False,False,503753.382088303,0.0012160518848804217
300000,0.15087119516472836,-0.4808373764505306,1.4204605314475376,1,-0.9447576219621924,-0.30964340420082415,0.6109200623164135,True,False,False,False,False,False,True,False,False,False,False,False,503753.382088303,0.0012160518848804217
300000,0.15087119516472836,-0.4808373764505306,1.4204605314475376,1,-0.9447576219621924,-0.30964340420082415,0.6109200623164135,True,False,False,False,False,False,True,False,False,False,False,False,503753.382088303,0.0012160518848804217
1200000,-0.6779045452550687,1.1459559000293533,-0.4425628528441014,2,0.9759245881185675,-0.30964340420082415,-0.6746485848333035,False,True,False,False,False,False,False,False,False,False,True,False,2326815.275261324,0.0018530314436273091
800000,1.53216409586439,-0.4787301312737432,-0.7530667502260412,1,-0.4948600293433453,-0.30964340420082415,0.386720706412752,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.007701661937576003
200000,-1.2304217055349334,-0.47451564092016835,0.3336968906107482,5,-0.6716854513179169,-0.30964340420082415,0.6419263562179834,True,True,False,False,False,False,True,False,False,False,False,False,660315.0673952642,0.0004632578609068273
740000,0.7033883554445931,-0.3712606272575851,0.3336968906107482,2,-0.34489416513706284,-0.30964340420082415,1.1738035516064564,True,True,False,False,False,False,False,False,False,True,False,False,503753.382088303,0.013839828594591465
150000,-2.0591974459547306,-0.7126343458971461,-0.4425628528441014,1,-0.9358044360394293,-0.30964340420082415,-0.3478899491013715,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.005211650935201807
520000,-0.125387384975204,-0.3712606272575851,-0.4425628528441014,1,-0.6694471548372263,-0.30964340420082415,1.719991344180269,True,True,False,False,False,False,False,False,False,False,True,False,503753.382088303,0.033412473217904914
170000,-1.7829388658147982,-0.4787301312737432,0.3336968906107482,3,-0.5597706272833778,-0.30964340420082415,0.23407433643579106,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.00747003300712259
710000,1.2559055157244579,-0.4787301312737432,-0.4425628528441014,1,-0.4935170514549308,-0.30964340420082415,-0.4432939303369725,True,False,False,False,True,False,False,False,False,True,False,False,596259.8822539949,0.001158144652267068
950000,1.2559055157244579,-0.8959646762776512,-0.5978148015350713,1,0.10545108677792267,-0.30964340420082415,-0.09745449835792083,True,False,False,False,True,False,False,False,False,False,True,False,999586.7814371258,0.007933290868029417
240000,-0.954163125395001,-0.053066605562685505,0.17844494191977828,1,-0.8026257954383279,-0.30964340420082415,0.14821075332375075,True,True,False,False,False,False,True,False,False,False,False,False,766432.6854545454,0.0015055880479471885
930000,1.2559055157244579,-0.8959646762776512,-0.5978148015350713,1,0.10545108677792267,-0.30964340420082415,-0.09745449835792083,True,False,False,False,True,False,False,False,False,False,True,False,999586.7814371258,0.007933290868029417
1922000,1.53216409586439,1.1206689579079043,-0.5978148015350713,1,1.4271651586258292,2.687683920431482,-0.6722634853024139,True,True,False,False,False,False,False,False,False,True,False,False,1795106.0558659218,0.00040535062829347385
150000,-0.954163125395001,-1.285805033983323,-0.13205895546216156,2,-1.0902468932070932,-0.30964340420082415,0.41057170172165247,True,False,False,False,True,False,True,False,False,False,False,False,596259.8822539949,0.00023162893045341364
